coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,fusion_group_2013,fission_group_2013,growth_ratio_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,fusion_group_2014,fission_group_2014,growth_ratio_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,fusion_group_2015,fission_group_2015,growth_ratio_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,fusion_group_2016,fission_group_2016,growth_ratio_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,fusion_group_2017,fission_group_2017,growth_ratio_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,fusion_group_2018,fission_group_2018,growth_ratio_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,fusion_group_2019,fission_group_2019,growth_ratio_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,fusion_group_2020,fission_group_2020,growth_ratio_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,fusion_group_2021,fission_group_2021,growth_ratio_2021,dynamics_2021,length_2022,width_2022,height_2022,observer_2022,note_2022,note_extra_2022,fusion_group_2022,fission_group_2022,growth_ratio_2022,dynamics_2022,length_2023,width_2023,height_2023,observer_2023,note_2023,note_extra_2023,fusion_group_2023,fission_group_2023,growth_ratio_2023,dynamics_2023
1432,LTER1,OR,T1,Por,0.89,40,2,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,2.2,1.6,1.3,MK,Lo,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1433,LTER1,OR,T1,Poc,0.89,76,8,12.7,9.8,9,MK,NA,NA,NA,NA,NA,NA,19.2,12.1,13,MK,NA,NA,NA,NA,1.40634920634921,Growth,26.2,14.9,13.2,MK,NA,NA,NA,NA,1.22573363431151,Growth,17.2,14.9,19.9,MK,NA,NA,NA,NA,0.957642725598527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9.5,9.1,EW,NA,NA,NA,NA,NA,NA,15.5,15,10,NA,NA,NA,NA,NA,1.20535714285714,Growth,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1434,LTER1,OR,T1,Acr,0.9,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.1,1.5,EW,NA,R,NA,NA,NA,Recruitment,3.5,3,2.6,NA,NA,NA,NA,NA,2.16666666666667,Growth,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1435,LTER1,OR,T1,Poc,0.9,20,14,3.7,3,2.5,MK,NA,NA,NA,NA,NA,NA,5.7,4.8,5.1,MK,Bi,NA,NA,NA,1.69565217391304,Growth,11.6,9.5,10.4,MK,NA,NA,NA,NA,2.01923076923077,Growth,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1436,LTER1,OR,T1,Poc,0.9,27,14,3.6,3.5,3.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1437,LTER1,OR,T1,Por,0.9,35,1,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,5.3,2.9,2.3,MK,Lo,NA,NA,NA,NA,NA,6.3,3.8,3.5,MK,Lo,NA,NA,NA,1.2952380952381,Growth,7.7,4.4,5.8,MK,Lo,NA,NA,NA,1.31617647058824,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,shade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1438,LTER1,OR,T1,Poc,0.9,45,5,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,5.3,4.2,5,MK,Lo,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1439,LTER1,OR,T1,Poc,0.91,97,6,11.6,9.2,7.7,MK,NA,NA,NA,NA,NA,NA,16.5,13.3,11.9,MK,NA,NA,NA,NA,1.46315789473684,Growth,22.9,17.7,14.9,MK,NA,NA,NA,NA,1.33093525179856,Growth,28,22.7,15.6,MK,NA,NA,NA,NA,1.19459459459459,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,32.7,16.5,EW,NA,NA,NA,NA,NA,NA,32,25,25,NA,NA,NA,NA,NA,0.912124582869855,NA,26,16,14,NA,NA,NA,NA,NA,0.682926829268293,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1440,LTER1,OR,T1,Poc,0.93,42,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.1,1.2,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1441,LTER1,OR,T1,Poc,0.93,60,13,1.7,1.5,1.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1442,LTER1,OR,T1,Poc,0.94,46,0,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,5.2,4,EW,NA,NA,NA,NA,NA,NA,10,7,8,NA,NA,NA,NA,NA,1.62337662337662,Growth,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1443,LTER1,OR,T1,Poc,0.95,43,1,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,0.8,0.5,0.5,MK,R,NA,NA,NA,NA,Recruitment,1.2,1,1.3,MK,NA,NA,NA,NA,1.94444444444444,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1444,LTER1,OR,T1,Poc,0.95,64,11,1.2,0.9,1.2,MK,NA,NA,NA,NA,NA,NA,2.5,2.1,2.1,MK,NA,NA,NA,NA,2.03030303030303,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1445,LTER1,OR,T1,Por,0.96,66,14,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,1.3,0.9,1.2,MK,R,NA,NA,NA,NA,Recruitment,3.7,2.3,3.1,MK,NA,NA,NA,NA,2.67647058823529,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1446,LTER1,OR,T1,Poc,0.96,90,3,2.6,2,2.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1447,LTER1,OR,T1,Poc,0.97,39,0,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.1,4.1,EW,NA,NA,NA,NA,NA,NA,4,6.6,5,NA,NA,NA,NA,NA,1.27868852459016,Growth,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1448,LTER1,OR,T1,Poc,0.97,56,11,2.2,1.8,1.9,MK,NA,NA,NA,NA,NA,NA,4.5,4.4,4.9,MK,NA,NA,NA,NA,2.33898305084746,Growth,10.8,8.6,7.1,MK,Fu1,NA,1,NA,1.92028985507246,"Growth, Fusion1",11.9,9.2,7.1,MK,NA,NA,NA,NA,1.06415094339623,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1449,LTER1,OR,T1,Poc,0.98,56,10,1.9,0.8,1,MK,NA,NA,NA,NA,NA,NA,2.7,2.3,1.3,MK,NA,NA,NA,NA,1.7027027027027,Growth,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1450,LTER1,OR,T1,Por,0.98,58,9,1.3,1.2,0.7,MK,NA,NA,NA,NA,NA,NA,5.6,2.5,3.4,MK,NA,NA,NA,NA,3.59375,Growth,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1451,LTER1,OR,T1,Por,0.99,44,0,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.3,7.3,EW,NA,NA,NA,NA,NA,NA,9,9,7,NA,NA,NA,NA,NA,1.05042016806723,Growth,14,13,12,NA,NA,NA,NA,NA,1.56,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1452,LTER1,OR,T1,Poc,0.99,53,11,2.8,2.4,2,MK,NA,NA,NA,NA,NA,NA,5.3,4.2,4,MK,NA,NA,NA,NA,1.875,Growth,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1453,LTER1,OR,T1,Poc,1,3,15,5.1,4,4.2,MK,NA,NA,NA,NA,NA,NA,6.8,6.2,6.4,MK,Bi,NA,NA,NA,1.45864661654135,Growth,10,8.5,8.7,MK,NA,NA,NA,NA,1.4020618556701,Growth,12.1,8.6,12.3,MK,NA,NA,NA,NA,1.21323529411765,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,11.6,11.7,EW,NA,NA,NA,NA,NA,NA,17,13,14,NA,NA,NA,NA,NA,1.3134328358209,Growth,12,14,12,NA,NA,NA,NA,NA,0.863636363636364,NA,14.8,14,11.6,MK,NA,NA,NA,NA,1.06315789473684,Growth,25.6,20.9,24.2,MK,NA,NA,NA,NA,1.75,Growth,22.2,20.5,19.4,MK,NA,NA,NA,NA,0.878359264497878,NA
1454,LTER1,OR,T1,Acr,1.1,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,1.7,2.1,1.8,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1455,LTER1,OR,T1,Acr,1.1,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.7,0.5,EW,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1456,LTER1,OR,T1,Acr,1.11,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,EW,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1457,LTER1,OR,T1,Acr,1.19,35,0,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.5,3.8,EW,NA,NA,NA,NA,NA,NA,9,7,6,NA,NA,NA,NA,NA,1.53846153846154,Growth,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1458,LTER1,OR,T1,Acr,1.2,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,5.4,4.2,4.3,MK,NA,NA,NA,NA,1.26363636363636,Growth,4.9,4.9,3.1,MK,NA,NA,NA,NA,0.928057553956834,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1459,LTER1,OR,T1,Acr,1.35,63,6,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,4,2.8,3.3,MK,R,NA,NA,NA,NA,Recruitment,5.6,5.3,7.3,MK,NA,NA,NA,NA,1.8019801980198,Growth,6.9,6.1,4.3,MK,NA,NA,NA,NA,0.950549450549451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,shade,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1460,LTER1,OR,T1,Acr,1.36,16,6,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,4.9,3.6,3.1,MK,R,NA,NA,NA,NA,Recruitment,7.9,7.3,6.5,MK,NA,NA,NA,NA,1.87068965517241,Growth,13.7,10.3,7,MK,NA,NA,NA,NA,1.42857142857143,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,shade,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1461,LTER1,OR,T1,Acr,2.35,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9,5,NA,NA,NA,NA,NA,NA,NA,20.4,14.6,7.7,MK,NA,NA,NA,NA,1.334375,Growth,22.6,14.5,7,MK,NA,NA,NA,NA,1.0327868852459,Growth,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1462,LTER1,OR,T1,Acr,2.68,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,7,7,4.6,MK,NA,NA,NA,NA,1.55,Growth,8.9,9,5.8,MK,NA,NA,NA,NA,1.2741935483871,Growth,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1463,LTER1,OR,T1,Acr,2.8,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,5.8,3.3,5.5,MK,NA,NA,NA,NA,1.62222222222222,Growth,7,5.3,6.2,MK,NA,NA,NA,NA,1.26712328767123,Growth,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1464,LTER1,OR,T1,Acr,2.88,83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,4.3,1.9,MK,R,NA,NA,NA,NA,Recruitment,6.5,4.8,3.1,MK,NA,NA,NA,NA,1.25217391304348,Growth,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1465,LTER1,OR,T1,Acr,2.9,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,6,5.5,MK,NA,NA,NA,NA,NA,NA,7.3,6.1,3.6,MK,NA,NA,NA,NA,0.85,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
1466,LTER1,OR,T2,Acr,2.94,79,8,9,7.3,7,MK,NA,NA,NA,NA,NA,NA,11.5,9.3,5.5,MK,NA,NA,NA,NA,1.12875536480687,Growth,17.8,9,9.4,MK,NA,NA,NA,NA,1.37642585551331,Growth,21.5,9.3,6.7,MK,NA,NA,NA,NA,1.03591160220994,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
