site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra
LTER1,BR,T03,Poc,4.1,5,30,2024,7.2,6.8,6,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,4.6,21,37,2024,25.5,29,13,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,4.6,1,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Poc,4.35,65,60,2024,3.5,3.5,2.7,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,4.5,80,55,2024,12,9,17,TBD,"NA, Missing data",NA
LTER1,BR,T03,Poc,2.09,10,70,2024,0.25,0.25,0.25,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Por,3.9,90,10,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,3.05,75,6,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,4.65,30,70,2024,3.4,3.4,2.8,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,4.85,40,90,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,1.2,30,50,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,1.4,30,50,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,1.6,30,50,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,3.4,80,20,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,4,72,20,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Por,5,90,80,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,5.1,90,90,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T03,Poc,6,4.5,30,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,T04,Por,0.05,60,90,2024,4.5,6.5,4,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,0.05,1,30,2024,7,3,1.5,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,0.5,61,32,2024,16.5,15,15,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,0.5,100,0,2024,16.5,9,7,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,0.79,90,0,2024,9.9,6.5,7.1,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,1.15,30,40,2024,6,5.9,3.8,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,1.2,27,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,1.4,49,40,2024,20.5,15.5,12,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,1.55,92,25,2024,16.5,11,10.5,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,1.6,60,20,2024,18.5,12,19,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,2,0,23,2024,7.5,7.5,6,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,2.3,84,23.3,2024,7,7.5,3.5,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,2.35,80,30,2024,3.5,7,1,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,2.4,70,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,2.45,70,25,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,2.5,90,20,2024,10,10,10,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,2.7,13,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,2.79,62,40,2024,4.2,4.2,1.8,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,2.8,77,30,2024,6.8,6.8,1,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,2.88,63,30,2024,2,2,1,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,2.89,69,10,2024,3,3,1,TBD,"NA, Growth",NA
LTER1,BR,T04,Acr,2.9,10,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,2.91,5,25,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,3.05,70,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,3.45,100,5,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Poc,3.83,20,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,4.11,1,63,2024,18.5,18,8.2,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,4.46,2,67,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T04,Por,4.65,26,66,2024,23,23,13,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,4.85,35,50,2024,7,6,4.2,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,4.9,13,60,2024,18,14,38,TBD,"NA, Growth",NA
LTER1,BR,T04,Por,4.92,40,50,2024,21,16.5,11,TBD,"NA, Growth",NA
LTER1,BR,T04,Poc,4.99,30,60,2024,7.5,6.8,7,TBD,"NA, Growth",NA
LTER1,BR,T04,Acr,0.5,100,60,2024,11,11,8.5,TBD,"NA, Edge",NA
LTER1,BR,T04,Acr,1.35,60,20,2024,3,3,3,TBD,"NA, Recruitment",NA
LTER1,BR,T04,Por,1.8,20,10,2024,11,4,6,TBD,"NA, Missing data",NA
LTER1,BR,T04,Poc,1.08,19,40,2024,0.5,0.5,0.5,TBD,"NA, Recruitment",NA
LTER1,BR,T04,Poc,1.09,10,40,2024,9,9,6,TBD,"NA, Missing data",NA
LTER1,BR,T04,Poc,2.8,80,40,2024,0.5,0.5,0.5,TBD,"NA, Recruitment",NA
LTER1,BR,T04,Poc,2.82,30,30,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,OR,T01,Poc,0.03,85,13,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T01,Poc,0.4,83,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T01,Poc,0.4,17,13,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T01,Poc,0.41,15,13,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T01,Poc,0.5,11,13,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T01,Poc,0.53,28,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T01,Poc,1,3,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T01,Acr,3.1,0,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,TO1,Poc,0.4,9,13,2024,1.5,0.6,1.3,TBD,"NA, Recruitment",NA
LTER1,OR,T02,Poc,0.3,93,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T02,Poc,0.35,9,34,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T02,Poc,0.82,47,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T02,Por,1,68,3,2024,2.7,1.3,1.3,TBD,"NA, Recruitment",NA
LTER1,OR,T02,Poc,0.96,1,8,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T02,Por,0.17,41,3,2024,5.4,2.7,4.4,TBD,"NA, Recruitment",NA
LTER1,OR,T02,Acr,3.1,52,1,2024,2.3,1.1,1.2,TBD,"NA, Recruitment",NA
LTER1,OR,T03,Poc,0.05,32,4,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T04,Poc,0.36,66,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T04,Por,0.58,50,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T04,Por,0.58,47,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,OR,T04,Por,0.66,21,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Por,0.5,70,150,2024,33.2,19.7,23.2,TBD,"NA, Growth",NA
LTER2,BR,P01,Por,1.4,10,40,2024,25.2,15,25.2,TBD,"NA, Growth",NA
LTER2,BR,P01,Poc,3.4,50,110,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,3.65,80,130,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,3.69,54,105,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,4.15,35,130,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,4.4,5,100,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,4.4,40,140,2024,5.5,3.8,4,TBD,"NA, Growth",NA
LTER2,BR,P01,Poc,4.4,47,120,2024,2.1,0.5,1.3,TBD,"NA, Growth",NA
LTER2,BR,P01,Poc,4.5,35,130,2024,13.1,7.2,8,TBD,"NA, Growth",NA
LTER2,BR,P01,Poc,4.55,25,100,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,4.9,5,135,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,5.16,82,100,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Poc,5.2,20,135,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Acr,5.55,40,125,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Por,5.6,65,100,2024,29,35.1,28.8,TBD,"NA, Growth",NA
LTER2,BR,P01,Por,5.8,50,50,2024,69.7,64.7,37.4,TBD,"NA, Growth",NA
LTER2,BR,P01,Poc,7,88,60,2024,4.3,3.2,4.3,TBD,"NA, Growth",NA
LTER2,BR,P01,Poc,9.64,0,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P01,Por,10,90,40,2024,18.8,15.4,15,TBD,"NA, Growth",NA
LTER2,BR,P01,Poc,0.55,60,130,2024,15.7,13,9.7,TBD,"NA, Missing data",NA
LTER2,BR,P01,Poc,0.55,75,125,2024,12,12.8,13,TBD,"NA, Missing data",NA
LTER2,BR,P01,Poc,3.9,10,120,2024,4,3.5,3.2,TBD,"NA, Recruitment",NA
LTER2,BR,P01,Poc,4.42,86,95,2024,5,3.8,5,TBD,"NA, Recruitment",NA
LTER2,BR,P01,Poc,5.3,40,75,2024,1.4,1.5,1.5,TBD,"NA, Recruitment",NA
LTER2,BR,P02,Poc,0.53,47,145,2024,51.7,25.2,36.5,TBD,"NA, Growth",NA
LTER2,BR,P02,Poc,0.6,35,80,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Acr,0.8,60,8,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Por,0.95,90,100,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Acr,1.07,58,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Por,1.2,36,90,2024,15.4,11.3,20.6,TBD,"NA, Growth",NA
LTER2,BR,P02,Poc,1.53,30,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,3.1,25,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,3.5,35,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,3.85,63,100,2024,35.5,38,32,TBD,"NA, Growth",NA
LTER2,BR,P02,Poc,4.1,70,120,2024,28.6,19,20.3,TBD,"NA, Growth",NA
LTER2,BR,P02,Por,5.15,20,30,2024,11.3,4.7,7.3,TBD,"NA, Growth",NA
LTER2,BR,P02,Por,5.6,80,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,6.1,98,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,6.4,35,50,2024,53.7,45.5,45,TBD,"NA, Growth",NA
LTER2,BR,P02,Poc,7.1,20,90,2024,4,3.8,4.4,TBD,"NA, Growth",NA
LTER2,BR,P02,Por,7.1,70,50,2024,30,29.7,38.9,TBD,"NA, Growth",NA
LTER2,BR,P02,Poc,7.5,12,90,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,7.6,60,60,2024,4.1,3.1,3.9,TBD,"NA, Growth",NA
LTER2,BR,P02,Acr,7.7,0,80,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,8.25,50,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,10,60,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P02,Poc,8.75,25,80,2024,8.7,7.6,6.8,TBD,"NA, Missing data",NA
LTER2,BR,P03,Poc,0.35,88,30,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,0.4,95,30,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,3.3,30,20,2024,27,31,27,TBD,"NA, Growth",NA
LTER2,BR,P03,Poc,3.6,50,50,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,3.8,40,110,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,4,50,70,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,4.1,40,40,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,4.2,30,40,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,4.8,50,0,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Por,5.2,50,50,2024,18,27,37,TBD,"NA, Growth",NA
LTER2,BR,P03,Poc,5.7,100,30,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Poc,6.9,39,39,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Acr,7.53,50,100,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Acr,7.3,40,100,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P03,Acr,8.1,40,50,2024,16,19.5,16.5,TBD,"NA, Growth",NA
LTER2,BR,P03,Por,9.5,50,30,2024,62,28,52.5,TBD,"NA, Growth",NA
LTER2,BR,P03,Poc,1.4,60,30,2024,32,37,32.5,TBD,"NA, Missing data",NA
LTER2,BR,P03,Por,1.8,80,30,2024,28,16,25.5,TBD,"NA, Missing data",NA
LTER2,BR,P04,Por,1.4,90,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P04,Poc,1.45,55,40,2024,252,40,40,TBD,"3/4 dead cots, Growth",NA
LTER2,BR,P04,Poc,2.6,95,20,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Poc,3.1,50,60,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Por,3.3,80,50,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Acr,7.1,100,60,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Acr,8.1,55,30,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Acr,8.15,70,30,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Acr,8.3,72,55,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Poc,8.4,40,80,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Poc,8.45,65,40,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Por,9.5,50,0,2024,10,8,6,TBD,"COTS, NA",NA
LTER2,BR,P04,Por,1.3,50,60,2024,29,19,16,TBD,"NA, Missing data",NA
LTER2,BR,P04,Poc,0.8,60,10,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,P05,Acr,1.8,10,15,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Poc,2.85,85,30,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,3.55,60,60,2024,20,16,9,TBD,"NA, NA",NA
LTER2,BR,P05,Por,3.7,10,80,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,4.09,10,80,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,5.5,60,10,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,6.6,100,30,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,7.1,25,40,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,7.1,35,40,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,7.29,49,80,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,7.3,30,80,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Acr,7.3,45,80,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P05,Poc,7.6,30,10,2024,15,15,12,TBD,"NA, NA",NA
LTER2,BR,P05,Acr,8.5,50,50,2024,NA,NA,NA,TBD,"COTS, Dead",NA
LTER2,BR,P04,Poc,8.9,50,60,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,P04,Poc,0.45,40,20,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,P04,Poc,0.5,50,20,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,P04,Poc,9.45,55,30,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,P06,Por,1.15,40,26,2024,17,15,38,TBD,"NA, Growth",NA
LTER2,BR,P06,Por,5.6,83,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P06,Por,9.5,95,39,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P06,Por,90,40,40,2024,45,48,54,TBD,"NA, Growth",NA
LTER2,BR,P07,Acr,1.2,30,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P07,Por,1.4,100,130,2024,14,48,54,TBD,"NA, Growth",NA
LTER2,BR,P07,Por,4.1,75,70,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P07,Por,6.1,65,45,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P07,Por,7.9,50,100,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P07,Poc,7.9,60,100,2024,25,22,18,TBD,"NA, Growth",NA
LTER2,BR,P07,Por,8.2,50,30,2024,40,38,55,TBD,"NA, Growth",NA
LTER2,BR,P08,Por,1.6,20,0,2024,65,40,65,TBD,"NA, Growth",NA
LTER2,BR,P08,Por,3.1,50,70,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P08,Acr,3.4,80,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P08,Acr,7.4,20,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P08,Por,9.15,75,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P08,Por,9.8,70,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Por,2.3,50,70,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Acr,3.4,4,26,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Acr,3.8,10,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Acr,3.9,32,30,2024,15,15,5,TBD,"NA, Growth",NA
LTER2,BR,P09,Acr,5.7,50,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Por,6.1,90,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Por,7,50,70,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Acr,7.55,5,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Acr,8.55,63,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Por,9.1,100,45,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P09,Por,9.2,45,55,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P10,Acr,0.67,100,40,2024,10,4,5,TBD,"NA, Growth",NA
LTER2,BR,P10,Por,1,5,40,2024,21,25,43,TBD,"NA, Growth",NA
LTER2,BR,P10,Acr,1.1,80,80,2024,7,8,10,TBD,"NA, Growth",NA
LTER2,BR,P10,Acr,1.3,70,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P10,Por,1.55,25,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,P10,Por,5.6,85,73,2024,70,28,30,TBD,"NA, Growth",NA
LTER2,BR,P10,Por,6.05,65,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,PO8,Poc,7.45,36,45,2024,3,3,3,TBD,"NA, Recruitment",NA
LTER2,BR,PO8,Poc,7.7,70,45,2024,10,15,15,TBD,"NA, Missing data",NA
LTER2,BR,PO6,Poc,2.4,20,20,2024,15,16,14,TBD,"NA, Missing data",NA
LTER2,BR,P10,Poc,1.1,60,80,2024,8,10,16,TBD,"NA, Missing data",NA
LTER2,BR,P10,Poc,1.1,70,80,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,P10,Poc,1.8,50,60,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,P10,Acr,1.8,70,80,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER2,BR,PO6,Poc,7.6,60,60,2024,22,20,18,TBD,"NA, Missing data",NA
LTER2,BR,PO8,Acr,4,8,50,2024,3,3,3,TBD,"NA, Recruitment",NA
LTER2,BR,T01,Por,0.05,70,130,2024,16.6,8.2,9.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.05,80,135,2024,6.4,2,4.5,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.23,46,69,2024,4.7,2.1,2.5,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.26,67,125,2024,16.5,5.6,6.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Poc,0.3,73,127,2024,2.2,2,2.6,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.35,40,65,2024,12.5,7.3,12.6,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.37,74,115,2024,8.5,7.5,11.5,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.37,83,115,2024,85,5.5,9.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.39,60,20,2024,9.3,4,4.3,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.5,50,30,2024,23.4,15.3,25,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.54,52,68,2024,10.1,7.5,10.9,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.55,60,10,2024,32.7,12.7,15.8,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.55,95,110,2024,24.7,20,18.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.61,48,7,2024,4.7,3.1,8.5,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.63,52,65,2024,14.7,12.4,16.8,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.8,39,10,2024,35.7,20.9,27.4,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.89,75,50,2024,11.8,10.5,14.1,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,0.9,100,60,2024,15,12,21.8,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,1.08,20,20,2024,11.3,6.9,8.3,TBD,"NA, Growth",NA
LTER2,BR,T01,Acr,1.35,10,25,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,1.35,98,15,2024,12,7,9.8,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,1.46,26,37,2024,13.8,14.1,10.8,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,2.6,73,15,2024,11,5.5,6.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,2.75,86,18,2024,8.3,5,1.9,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,2.89,60,95,2024,2.2,1.7,2.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,2.9,53,91,2024,10,5,6.1,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,2.91,7,64,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,3.03,31,126,2024,17.6,12.2,13.4,TBD,"NA, Growth",NA
LTER2,BR,T01,Acr,3.03,36,130,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,3.05,75,124,2024,17.2,16.5,15.3,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,3.1,26,124,2024,11.5,8.2,15.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,3.17,4,110,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,3.2,100,115,2024,16.9,10.8,15.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Acr,3.25,0,100,2024,16.8,11.8,14.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,3.26,40,133,2024,7.3,8.3,10.7,TBD,"NA, Growth",NA
LTER2,BR,T01,Poc,3.28,47,133,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,3.3,0,80,2024,17.2,10.5,15,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,3.5,28,126,2024,19.4,19.5,22.3,TBD,"NA, Growth",NA
LTER2,BR,T01,Acr,3.6,65,75,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Poc,3.7,94,130,2024,12.9,7,15.2,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,3.87,19,89,2024,11.7,7,9.3,TBD,"NA, Growth",NA
LTER2,BR,T01,Poc,4.04,35,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,4.04,55,98,2024,5.7,5.6,13.3,TBD,"NA, Growth",NA
LTER2,BR,T01,Poc,4.1,95,130,2024,28.5,25,15,TBD,"NA, Growth",NA
LTER2,BR,T01,Poc,4.18,74,110,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,4.24,86,130,2024,5.3,3.7,4,TBD,"NA, Growth",NA
LTER2,BR,T01,Poc,4.25,68,109,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Poc,4.25,100,110,2024,10.4,6.5,10.5,TBD,"NA, Growth",NA
LTER2,BR,T01,Poc,4.32,86,125,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Por,4.45,20,98,2024,14.8,12.2,9.5,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,4.5,28,98,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Acr,4.54,50,130,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER2,BR,T01,Poc,4.55,63,130,2024,29.6,23.3,15.6,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,4.57,46,128,2024,19.5,15,24,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,4.63,85,134,2024,8.2,8,9.6,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,4.65,60,130,2024,11.8,8.8,11.8,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,4.75,20,85,2024,39.8,14,37,TBD,"NA, Growth",NA
LTER2,BR,T01,Por,4.75,40,130,2024,26,15.4,30.7,TBD,"NA, Growth",NA
