coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,dynamics_2021
1208,LTER1,OR,T1,Poc,0.6,75,3,3.3,1.7,1.6,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,LTER1,OR,T1,Poc,0.6,62,2,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,1.5,0.9,0.7,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1210,LTER1,OR,T1,Por,0.6,35,6,NA,NA,NA,MK,NA,NA,NA,1.8,1,1.2,MK,R,NA,Recruitment,3,2.3,3.8,MK,NA,NA,NA,4.5,2.9,2.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1211,LTER1,OR,T1,Por,0.6,52,0,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,7.8,6.6,EW,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,LTER1,OR,T1,Por,0.62,33,10,3.3,1.4,1.2,MK,NA,NA,NA,3.8,3.3,2.3,MK,NA,NA,NA,6.7,3.4,4,MK,NA,NA,NA,8.3,4.6,4.7,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1213,LTER1,OR,T1,Por,0.63,41,5,NA,NA,NA,MK,NA,NA,NA,7.2,5.3,8.3,MK,Lo,NA,NA,6.1,4,3,MK,Lo,NA,NA,5.8,5.1,2.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,LTER1,OR,T1,Por,0.63,44,3,NA,NA,NA,MK,NA,NA,NA,4,3,3.8,MK,Lo,NA,NA,7.4,6.2,4.6,MK,Lo,NA,NA,4.6,4.6,2.3,MK,Lo,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.5,5,EW,NA,NA,NA,13,8.5,5,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1215,LTER1,OR,T1,Por,0.64,46,1,NA,NA,NA,MK,NA,NA,NA,2.9,1.3,2.2,MK,Lo,NA,NA,3.2,2.5,3.1,MK,Lo,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1216,LTER1,OR,T1,Por,0.64,38,7,4.3,2.9,4.2,MK,NA,NA,NA,7.6,6.3,5.9,MK,NA,NA,NA,10.6,8.3,6.9,MK,NA,NA,NA,13,8.5,8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.2,3,EW,NA,NA,NA,18,10,12,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1217,LTER1,OR,T1,Poc,0.65,14,15,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,2.6,2,2.7,MK,R,NA,Recruitment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1218,LTER1,OR,T1,Por,0.65,18,4,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,2.7,1.8,2.4,MK,R,NA,Recruitment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,LTER1,OR,T1,Por,0.65,66,2,4.3,3.2,3.6,MK,NA,NA,NA,9.2,5.1,2.5,MK,NA,NA,NA,15.2,7,5,MK,NA,NA,NA,14.8,13.8,8.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1220,LTER1,OR,T1,Poc,0.65,20,15,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1.5,EW,NA,R,Recruitment,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1221,LTER1,OR,T1,Poc,0.65,33,13,4.9,3.8,4,MK,NA,NA,NA,9.6,8.4,6.7,MK,NA,NA,NA,11,10.9,9.7,MK,NA,NA,NA,14.5,13.4,11.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11.4,9.2,EW,NA,Fu2,Fusion2,18,18,15,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1222,LTER1,OR,T1,Acr,0.66,14,30,7.7,5.3,7.1,MK,NA,NA,NA,10.2,8.6,8.2,MK,NA,NA,NA,14.9,11.5,5,MK,NA,NA,NA,18.6,17.4,12.8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1223,LTER1,OR,T1,Poc,0.66,23,10,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,EW,NA,R,Recruitment,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1224,LTER1,OR,T1,Por,0.68,15,8,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,2.8,1.3,1.3,MK,R,NA,Recruitment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225,LTER1,OR,T1,Poc,0.68,15,10,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,1.1,0.8,1.3,MK,R,NA,Recruitment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1226,LTER1,OR,T1,Poc,0.68,31,3,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3,1,EW,NA,R,Recruitment,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227,LTER1,OR,T1,Poc,0.68,95,3,6.6,5,5.8,MK,NA,NA,NA,8.5,7.5,7.3,MK,Bi,NA,NA,10.1,8.9,7.5,MK,NA,NA,NA,11.8,9.9,9.1,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,6.6,6.8,EW,NA,NA,NA,11,11,9,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1228,LTER1,OR,T1,Acr,0.68,30,5,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.5,1,EW,NA,R,Recruitment,6.5,5.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1229,LTER1,OR,T1,Poc,0.69,100,2,4.3,3.6,3.3,MK,Ed,NA,NA,6,4.4,5.1,MK,NA,NA,NA,8.4,6.7,7.5,MK,NA,NA,NA,9.7,7.1,9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,8.8,6.3,EW,NA,NA,NA,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1230,LTER1,OR,T1,Poc,0.7,3,40,7.1,5.5,6,MK,NA,NA,NA,7.9,6.1,6.4,MK,Br,NA,NA,6,4.5,7.5,MK,NA,NA,NA,8.2,6.3,7,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1231,LTER1,OR,T1,Acr,0.7,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,8,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1232,LTER1,OR,T1,Poc,0.71,29,7,2.1,1.6,1.7,MK,NA,NA,NA,3,3.1,4.1,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1233,LTER1,OR,T1,Poc,0.72,4,38,NA,NA,NA,MK,NA,NA,NA,1.3,1.1,1.4,MK,R,NA,Recruitment,3.2,2.1,2.7,MK,NA,NA,NA,4.5,3.1,3.8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1234,LTER1,OR,T1,Poc,0.72,79,4,1.1,1.1,0.9,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1235,LTER1,OR,T1,Por,0.72,42,0,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,19.3,8.6,EW,NA,NA,NA,21,18,9,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1236,LTER1,OR,T1,Poc,0.74,5,38,11.5,10.3,7.4,MK,NA,NA,NA,17.7,11.4,12.1,MK,Bi,NA,NA,24.8,17.9,15.9,MK,NA,NA,NA,32.4,23.3,13.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1237,LTER1,OR,T1,Poc,0.74,83,3,7.4,6.5,5,MK,NA,NA,NA,9.7,9.1,7.5,MK,NA,NA,NA,11.1,10.9,9.6,MK,NA,NA,NA,11.1,9.6,7.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,Fu1,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238,LTER1,OR,T1,Poc,0.75,25,8,1.2,0.7,1.3,MK,NA,NA,NA,2.1,1.7,1.9,MK,NA,NA,NA,3.3,2.5,3,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1239,LTER1,OR,T1,Poc,0.76,13,5,1.6,1.3,1.6,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240,LTER1,OR,T1,Poc,0.76,31,9,4.9,4.5,5.3,MK,NA,NA,NA,11.1,9.2,9.6,MK,NA,NA,NA,15.3,13.8,13.6,MK,NA,NA,NA,19.8,17.8,18.8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,Fu2,Fusion2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241,LTER1,OR,T1,Poc,0.77,65,5,10.4,9.8,9.8,MK,NA,NA,NA,11.7,9.7,10.7,MK,NA,NA,NA,13.8,10.8,11.3,MK,NA,NA,NA,15.8,10.7,11,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,shade,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242,LTER1,OR,T1,Poc,0.78,77,7,2.3,1.8,1.7,MK,NA,NA,NA,6.3,4.7,3.4,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243,LTER1,OR,T1,Poc,0.78,8,2,1.5,0.9,1.6,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244,LTER1,OR,T1,Poc,0.8,85,3,3,2.1,2.8,MK,NA,NA,NA,4.3,3.3,4.3,MK,NA,NA,NA,5.6,3.9,6,MK,NA,NA,NA,9.2,6.1,7.1,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1245,LTER1,OR,T1,Poc,0.8,94,4,3.7,3.3,2,MK,NA,NA,NA,5.6,4.1,4.9,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246,LTER1,OR,T1,Poc,0.8,8,2,2.8,2.7,2.1,MK,NA,NA,NA,5.7,5.4,4.6,MK,NA,NA,NA,9.8,6.7,6.7,MK,NA,NA,NA,9.4,5.5,7.6,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247,LTER1,OR,T1,Por,0.8,58,0,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,8.4,6.2,EW,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,LTER1,OR,T1,Poc,0.81,57,15,12.4,8.9,10.6,MK,NA,NA,NA,17.2,12.4,15.1,MK,NA,NA,NA,21.5,18.4,17.5,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249,LTER1,OR,T1,Poc,0.81,18,9,6.8,6.4,5.7,MK,NA,NA,NA,11.8,9.5,10,MK,NA,NA,NA,15.6,12.6,11.3,MK,NA,NA,NA,17.2,14.7,13.4,MK,Fu1,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,25.3,22.2,15.7,EW,NA,NA,NA,28.5,16,24,NA,NA,NA,NA,14,7,7,NA,NA,live part sticking out,NA,NA,NA,NA,MK,D,NA,Death
1250,LTER1,OR,T1,Poc,0.82,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6.5,7,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1251,LTER1,OR,T1,Poc,0.83,4,2,1.8,1.6,1.3,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fu1,NA,Fusion1
1252,LTER1,OR,T1,Poc,0.85,75,10,2.1,1.6,2.1,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253,LTER1,OR,T1,Poc,0.85,31,6,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,2.7,1.5,2.5,MK,R,NA,Recruitment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254,LTER1,OR,T1,Poc,0.85,42,2,NA,NA,NA,MK,NA,NA,NA,1.5,1.1,1.3,MK,R,NA,Recruitment,2.5,2,2,MK,NA,NA,NA,4.5,3.3,3.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,shade,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,LTER1,OR,T1,Poc,0.85,94,6,2.8,2.3,2.1,MK,NA,NA,NA,4.3,3.7,3.8,MK,NA,NA,NA,5,4.7,5,MK,NA,NA,NA,6.7,5.5,5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,12.1,7,EW,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256,LTER1,OR,T1,Poc,0.85,5,12,6.3,4.5,6.5,MK,NA,NA,NA,9.1,7.3,8.8,MK,Bi,NA,NA,11.3,10.7,10,MK,NA,NA,NA,9.9,7.9,8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,11.1,11.4,EW,NA,NA,NA,5,6,4,NA,NA,NA,NA,9,6,8,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,Death
1257,LTER1,OR,T1,Poc,0.86,96,2,3.8,2.9,2.3,MK,NA,NA,NA,3.7,2.1,2.9,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258,LTER1,OR,T1,Poc,0.86,1,7,2.5,1.5,2,MK,NA,NA,NA,3.6,3.2,3.4,MK,NA,NA,NA,6,4.9,6,MK,NA,NA,NA,7.2,5.5,8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259,LTER1,OR,T1,Poc,0.87,23,13,2.1,1.7,2,MK,NA,NA,NA,3.7,3.4,4,MK,NA,NA,NA,6.4,5.4,5.1,MK,NA,NA,NA,6.3,4.8,5.3,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,4.3,4.3,EW,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,LTER1,OR,T1,Poc,0.88,89,4,7.7,5.8,6.3,MK,NA,NA,NA,9.5,7.8,8.1,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1261,LTER1,OR,T1,Por,0.89,40,2,NA,NA,NA,MK,NA,NA,NA,2.2,1.6,1.3,MK,Lo,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262,LTER1,OR,T1,Poc,0.89,76,8,12.7,9.8,9,MK,NA,NA,NA,19.2,12.1,13,MK,NA,NA,NA,26.2,14.9,13.2,MK,NA,NA,NA,17.2,14.9,19.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9.5,9.1,EW,NA,NA,NA,15.5,15,10,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1263,LTER1,OR,T1,Poc,0.9,45,5,NA,NA,NA,MK,NA,NA,NA,5.3,4.2,5,MK,Lo,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1264,LTER1,OR,T1,Por,0.9,35,1,NA,NA,NA,MK,NA,NA,NA,5.3,2.9,2.3,MK,Lo,NA,NA,6.3,3.8,3.5,MK,Lo,NA,NA,7.7,4.4,5.8,MK,Lo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,shade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1265,LTER1,OR,T1,Poc,0.9,27,14,3.6,3.5,3.5,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,LTER1,OR,T1,Poc,0.9,20,14,3.7,3,2.5,MK,NA,NA,NA,5.7,4.8,5.1,MK,Bi,NA,NA,11.6,9.5,10.4,MK,NA,NA,NA,NA,NA,NA,MK,Fu1,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1267,LTER1,OR,T1,Acr,0.9,15,15,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.1,1.5,EW,NA,R,Recruitment,3.5,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
1268,LTER1,OR,T1,Poc,0.91,97,6,11.6,9.2,7.7,MK,NA,NA,NA,16.5,13.3,11.9,MK,NA,NA,NA,22.9,17.7,14.9,MK,NA,NA,NA,28,22.7,15.6,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,32.7,16.5,EW,NA,NA,NA,32,25,25,NA,NA,NA,NA,26,16,14,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,Death
